ID,Price,Location,Room,Area,Floor,Store,Date_Time,Link
2568855,93 000,Avtovağzal m.,2,65,17,18,bugün 15:54,https://bina.az/items/2568855
2534042,179 999,8 Noyabr m.,2,100,8,20,bugün 15:54,https://bina.az/items/2534042
2568851,145 000,Azadlıq Prospekti m.,2,72,6,17,bugün 15:53,https://bina.az/items/2568851
2492971,95 000,Nərimanov r.,2,62,3,9,bugün 15:51,https://bina.az/items/2492971
2568843,74 000,Nizami r.,2,52,9,11,bugün 15:51,https://bina.az/items/2568843
2568832,120 000,Memar Əcəmi m.,2,64,3,17,bugün 15:48,https://bina.az/items/2568832
2568822,145 000,Şah İsmayıl Xətai m.,2,67,6,21,bugün 15:46,https://bina.az/items/2568822
2568819,118 000,Yasamal r.,2,99,8,18,bugün 15:46,https://bina.az/items/2568819
2568812,113 000,Nəsimi r.,2,60,3,20,bugün 15:44,https://bina.az/items/2568812
2568811,72 000,Nəriman Nərimanov m.,2,50,1,5,bugün 15:44,https://bina.az/items/2568811
2535266,345 600,Nəsimi r.,2,128,11,18,bugün 15:43,https://bina.az/items/2535266
2568807,138 000,Nizami m.,2,53,4,5,bugün 15:48,https://bina.az/items/2568807
2568806,225 000,İnşaatçılar m.,2,106,16,20,bugün 15:41,https://bina.az/items/2568806
2568804,100 000,Şah İsmayıl Xətai m.,2,67,18,21,bugün 15:41,https://bina.az/items/2568804
2470639,89 000,Nizami r.,2,110,14,17,bugün 15:41,https://bina.az/items/2470639
2568798,92 000,İnşaatçılar m.,2,68,2,19,bugün 16:41,https://bina.az/items/2568798
2568792,128 000,İnşaatçılar m.,2,67,2,14,bugün 15:43,https://bina.az/items/2568792
2262415,192 000,Nizami m.,2,87,8,14,07 yanvar 2022,https://bina.az/items/2262415
2515300,185 000,Şah İsmayıl Xətai m.,2,59.8,1,5,10 yanvar 2022,https://bina.az/items/2515300
2527193,125 000,20 Yanvar m.,2,70,3,17,23 dekabr 2021,https://bina.az/items/2527193
2559838,105 000,Bayıl q.,2,47,15,17,12 yanvar 2022,https://bina.az/items/2559838
206,128 439,Bakı,2,67.6,,,bugün 10:57,https://bina.az/items/206
82,97 104,Gənclik m.,2,57.1,,,04 yanvar 2022,https://bina.az/items/82
85,251 078,Sea Breeze ,2,75.7,,,bugün 12:32,https://bina.az/items/85
